Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame,Status
RB,Justice Hill (44037775),Justice Hill,44037775,RB/FLEX,4200,BAL@IND 09/13/2026 01:00PM ET,BAL,6.5,
RB,Rasheen Ali (44037777),Rasheen Ali,44037777,RB/FLEX,4200,BAL@IND 09/13/2026 01:00PM ET,BAL,1.6,
RB,Jordan James (44037779),Jordan James,44037779,RB/FLEX,4200,SF@LAR 09/10/2026 08:35PM ET,SF,0.8,
WR,Malik Washington (44038109),Malik Washington,44038109,WR/FLEX,4200,MIA@LV 09/13/2026 04:25PM ET,MIA,6.9,
WR,Antonio Williams (44038111),Antonio Williams,44038111,WR/FLEX,4200,WAS@PHI 09/13/2026 04:25PM ET,WAS,0,
WR,Pat Bryant (44038113),Pat Bryant,44038113,WR/FLEX,4200,DEN@KC 09/14/2026 08:15PM ET,DEN,4.8,
WR,Darius Slayton (44038115),Darius Slayton,44038115,WR/FLEX,4200,DAL@NYG 09/13/2026 08:20PM ET,NYG,7.1,
TE,Harold Fannin Jr. (44038601),Harold Fannin Jr.,44038601,TE/FLEX,4200,CLE@JAX 09/13/2026 01:00PM ET,CLE,11.9,
QB,Gardner Minshew II (44037544),Gardner Minshew II,44037544,QB,4100,ARI@LAC 09/13/2026 04:25PM ET,ARI,0.2,
QB,Carson Beck (44037545),Carson Beck,44037545,QB,4100,ARI@LAC 09/13/2026 04:25PM ET,ARI,0,
RB,Emanuel Wilson (44037781),Emanuel Wilson,44037781,RB/FLEX,4100,NE@SEA 09/09/2026 08:20PM ET,SEA,5.4,
RB,Roman Hemby (44037783),Roman Hemby,44037783,RB/FLEX,4100,MIA@LV 09/13/2026 04:25PM ET,LV,0,
RB,Will Shipley (44037785),Will Shipley,44037785,RB/FLEX,4100,WAS@PHI 09/13/2026 04:25PM ET,PHI,1.3,
RB,Tahj Brooks (44037787),Tahj Brooks,44037787,RB/FLEX,4100,TB@CIN 09/13/2026 01:00PM ET,CIN,0.4,
WR,Omar Cooper Jr. (44038117),Omar Cooper Jr.,44038117,WR/FLEX,4100,NYJ@TEN 09/13/2026 01:00PM ET,NYJ,0,
WR,Jerry Jeudy (44038119),Jerry Jeudy,44038119,WR/FLEX,4100,CLE@JAX 09/13/2026 01:00PM ET,CLE,7.2,
WR,Dontayvion Wicks (44038121),Dontayvion Wicks,44038121,WR/FLEX,4100,WAS@PHI 09/13/2026 04:25PM ET,PHI,5.4,
WR,Cooper Kupp (44038123),Cooper Kupp,44038123,WR/FLEX,4100,NE@SEA 09/09/2026 08:20PM ET,SEA,8.2,
TE,Dallas Goedert (44038603),Dallas Goedert,44038603,TE/FLEX,4100,WAS@PHI 09/13/2026 04:25PM ET,PHI,13,
QB,Quinn Ewers (44037546),Quinn Ewers,44037546,QB,4000,CLE@JAX 09/13/2026 01:00PM ET,JAX,9,
QB,Brady Cook (44037547),Brady Cook,44037547,QB,4000,MIA@LV 09/13/2026 04:25PM ET,MIA,7.3,
QB,Kenny Pickett (44037548),Kenny Pickett,44037548,QB,4000,CHI@CAR 09/13/2026 01:00PM ET,CAR,1.8,
QB,Haynes King (44037549),Haynes King,44037549,QB,4000,CHI@CAR 09/13/2026 01:00PM ET,CAR,0,
QB,Tyson Bagent (44037550),Tyson Bagent,44037550,QB,4000,CHI@CAR 09/13/2026 01:00PM ET,CHI,0.9,
QB,Case Keenum (44037551),Case Keenum,44037551,QB,4000,CHI@CAR 09/13/2026 01:00PM ET,CHI,0,
QB,Mason Rudolph (44037552),Mason Rudolph,44037552,QB,4000,ATL@PIT 09/13/2026 01:00PM ET,PIT,3,
QB,Will Howard (44037553),Will Howard,44037553,QB,4000,ATL@PIT 09/13/2026 01:00PM ET,PIT,0,
QB,Drew Allar (44037554),Drew Allar,44037554,QB,4000,ATL@PIT 09/13/2026 01:00PM ET,PIT,0,
QB,Cooper Rush (44037555),Cooper Rush,44037555,QB,4000,ATL@PIT 09/13/2026 01:00PM ET,ATL,1.7,
QB,Jack Strand (44037556),Jack Strand,44037556,QB,4000,ATL@PIT 09/13/2026 01:00PM ET,ATL,0,
QB,Cade Klubnik (44037557),Cade Klubnik,44037557,QB,4000,NYJ@TEN 09/13/2026 01:00PM ET,NYJ,0,
QB,Bailey Zappe (44037558),Bailey Zappe,44037558,QB,4000,NYJ@TEN 09/13/2026 01:00PM ET,NYJ,0,
QB,Mitchell Trubisky (44037559),Mitchell Trubisky,44037559,QB,4000,NYJ@TEN 09/13/2026 01:00PM ET,TEN,7.8,Q
QB,Hendon Hooker (44037560),Hendon Hooker,44037560,QB,4000,NYJ@TEN 09/13/2026 01:00PM ET,TEN,0,
QB,Kyle McCord (44037561),Kyle McCord,44037561,QB,4000,MIA@LV 09/13/2026 04:25PM ET,MIA,0,
QB,Aidan O'Connell (44037562),Aidan O'Connell,44037562,QB,4000,MIA@LV 09/13/2026 04:25PM ET,LV,4.8,
QB,Trey Lance (44037563),Trey Lance,44037563,QB,4000,ARI@LAC 09/13/2026 04:25PM ET,LAC,3.9,
QB,DJ Uiagalelei (44037564),DJ Uiagalelei,44037564,QB,4000,ARI@LAC 09/13/2026 04:25PM ET,LAC,0,
QB,Carter Bradley (44037565),Carter Bradley,44037565,QB,4000,CLE@JAX 09/13/2026 01:00PM ET,JAX,0,Q
QB,Joey Aguilar (44037566),Joey Aguilar,44037566,QB,4000,CLE@JAX 09/13/2026 01:00PM ET,JAX,0,
QB,Nick Mullens (44037567),Nick Mullens,44037567,QB,4000,CLE@JAX 09/13/2026 01:00PM ET,JAX,-0,
QB,Taylen Green (44037568),Taylen Green,44037568,QB,4000,CLE@JAX 09/13/2026 01:00PM ET,CLE,0,
QB,Dillon Gabriel (44037569),Dillon Gabriel,44037569,QB,4000,CLE@JAX 09/13/2026 01:00PM ET,CLE,7.2,IR
QB,Spencer Rattler (44037570),Spencer Rattler,44037570,QB,4000,NO@DET 09/13/2026 01:00PM ET,NO,11.8,
QB,Zach Wilson (44037571),Zach Wilson,44037571,QB,4000,NO@DET 09/13/2026 01:00PM ET,NO,0.3,
QB,Joshua Dobbs (44037572),Joshua Dobbs,44037572,QB,4000,NO@DET 09/13/2026 01:00PM ET,DET,0.5,
QB,Luke Altmyer (44037573),Luke Altmyer,44037573,QB,4000,NO@DET 09/13/2026 01:00PM ET,DET,0,
QB,Sam Hartman (44037574),Sam Hartman,44037574,QB,4000,WAS@PHI 09/13/2026 04:25PM ET,WAS,0,
QB,Athan Kaliakmanis (44037575),Athan Kaliakmanis,44037575,QB,4000,WAS@PHI 09/13/2026 04:25PM ET,WAS,0,
QB,Andy Dalton (44037576),Andy Dalton,44037576,QB,4000,WAS@PHI 09/13/2026 04:25PM ET,PHI,3.1,
QB,Tanner McKee (44037577),Tanner McKee,44037577,QB,4000,WAS@PHI 09/13/2026 04:25PM ET,PHI,3.7,
QB,Cole Payton (44037578),Cole Payton,44037578,QB,4000,WAS@PHI 09/13/2026 04:25PM ET,PHI,0,
QB,Carson Wentz (44037579),Carson Wentz,44037579,QB,4000,GB@MIN 09/13/2026 04:25PM ET,MIN,16.3,
QB,Max Brosmer (44037580),Max Brosmer,44037580,QB,4000,GB@MIN 09/13/2026 04:25PM ET,MIN,1.3,
QB,Tyrod Taylor (44037581),Tyrod Taylor,44037581,QB,4000,GB@MIN 09/13/2026 04:25PM ET,GB,10.9,
QB,Kedon Slovis (44037582),Kedon Slovis,44037582,QB,4000,GB@MIN 09/13/2026 04:25PM ET,GB,-0,
QB,Graham Mertz (44037583),Graham Mertz,44037583,QB,4000,BUF@HOU 09/13/2026 01:00PM ET,HOU,0,IR
QB,Kyle Allen (44037584),Kyle Allen,44037584,QB,4000,BUF@HOU 09/13/2026 01:00PM ET,BUF,-0.1,
QB,Shane Buechele (44037585),Shane Buechele,44037585,QB,4000,BUF@HOU 09/13/2026 01:00PM ET,BUF,3.9,
QB,Joe Fagnano (44037586),Joe Fagnano,44037586,QB,4000,BAL@IND 09/13/2026 01:00PM ET,BAL,0,
QB,Skylar Thompson (44037587),Skylar Thompson,44037587,QB,4000,BAL@IND 09/13/2026 01:00PM ET,BAL,0,IR
QB,Jalon Daniels (44037588),Jalon Daniels,44037588,QB,4000,TB@CIN 09/13/2026 01:00PM ET,TB,0,
QB,Easton Stick (44037589),Easton Stick,44037589,QB,4000,TB@CIN 09/13/2026 01:00PM ET,TB,0,
QB,Josh Johnson (44037590),Josh Johnson,44037590,QB,4000,TB@CIN 09/13/2026 01:00PM ET,CIN,5.5,
QB,Sean Clifford (44037591),Sean Clifford,44037591,QB,4000,TB@CIN 09/13/2026 01:00PM ET,CIN,0,
QB,Garrett Nussmeier (44037592),Garrett Nussmeier,44037592,QB,4000,DEN@KC 09/14/2026 08:15PM ET,KC,0,
QB,Sam Ehlinger (44037593),Sam Ehlinger,44037593,QB,4000,DEN@KC 09/14/2026 08:15PM ET,DEN,0,
QB,Drew Lock (44037594),Drew Lock,44037594,QB,4000,NE@SEA 09/09/2026 08:20PM ET,SEA,0,
QB,Jalen Milroe (44037595),Jalen Milroe,44037595,QB,4000,NE@SEA 09/09/2026 08:20PM ET,SEA,-0.2,
QB,Tommy DeVito (44037596),Tommy DeVito,44037596,QB,4000,NE@SEA 09/09/2026 08:20PM ET,NE,0,
QB,Behren Morton (44037597),Behren Morton,44037597,QB,4000,NE@SEA 09/09/2026 08:20PM ET,NE,0,
QB,Mac Jones (44037598),Mac Jones,44037598,QB,4000,SF@LAR 09/10/2026 08:35PM ET,SF,12.3,
QB,Kurtis Rourke (44037599),Kurtis Rourke,44037599,QB,4000,SF@LAR 09/10/2026 08:35PM ET,SF,0,
QB,Stetson Bennett IV (44037600),Stetson Bennett IV,44037600,QB,4000,SF@LAR 09/10/2026 08:35PM ET,LAR,0,
QB,Ty Simpson (44037601),Ty Simpson,44037601,QB,4000,SF@LAR 09/10/2026 08:35PM ET,LAR,0,
QB,Matthew Caldwell (44037602),Matthew Caldwell,44037602,QB,4000,SF@LAR 09/10/2026 08:35PM ET,LAR,0,IR
QB,Jameis Winston (44037603),Jameis Winston,44037603,QB,4000,DAL@NYG 09/13/2026 08:20PM ET,NYG,16.4,
QB,Jake Haener (44037604),Jake Haener,44037604,QB,4000,DAL@NYG 09/13/2026 08:20PM ET,NYG,0,
QB,Sam Howell (44037605),Sam Howell,44037605,QB,4000,DAL@NYG 09/13/2026 08:20PM ET,DAL,0,
QB,Chris Oladokun (44037606),Chris Oladokun,44037606,QB,4000,DEN@KC 09/14/2026 08:15PM ET,KC,4.4,Q
RB,Brashard Smith (44037789),Brashard Smith,44037789,RB/FLEX,4000,DEN@KC 09/14/2026 08:15PM ET,KC,3.7,
RB,Devin Singletary (44037791),Devin Singletary,44037791,RB/FLEX,4000,DAL@NYG 09/13/2026 08:20PM ET,NYG,6.4,
RB,Emari Demercado (44037793),Emari Demercado,44037793,RB/FLEX,4000,DAL@NYG 09/13/2026 08:20PM ET,DAL,4.6,
RB,Jaydon Blue (44037795),Jaydon Blue,44037795,RB/FLEX,4000,WAS@PHI 09/13/2026 04:25PM ET,PHI,4.1,
RB,AJ Dillon (44037797),AJ Dillon,44037797,RB/FLEX,4000,CHI@CAR 09/13/2026 01:00PM ET,CAR,1.4,
RB,Anthony Tyus III (44037799),Anthony Tyus III,44037799,RB/FLEX,4000,CHI@CAR 09/13/2026 01:00PM ET,CAR,0,
RB,Roschon Johnson (44037801),Roschon Johnson,44037801,RB/FLEX,4000,CHI@CAR 09/13/2026 01:00PM ET,CHI,0.2,
RB,Brittain Brown (44037803),Brittain Brown,44037803,RB/FLEX,4000,CHI@CAR 09/13/2026 01:00PM ET,CHI,3.2,IR
RB,Salvon Ahmed (44037805),Salvon Ahmed,44037805,RB/FLEX,4000,CHI@CAR 09/13/2026 01:00PM ET,CHI,0,
RB,Zavier Scott (44037807),Zavier Scott,44037807,RB/FLEX,4000,CHI@CAR 09/13/2026 01:00PM ET,CHI,2.5,
RB,Eli Heidenreich (44037809),Eli Heidenreich,44037809,RB/FLEX,4000,ATL@PIT 09/13/2026 01:00PM ET,PIT,0,
RB,Travis Homer (44037811),Travis Homer,44037811,RB/FLEX,4000,ATL@PIT 09/13/2026 01:00PM ET,PIT,-0,
RB,Lew Nichols (44037813),Lew Nichols,44037813,RB/FLEX,4000,ATL@PIT 09/13/2026 01:00PM ET,PIT,0,
RB,Riley Nowakowski (44037815),Riley Nowakowski,44037815,RB/FLEX,4000,ATL@PIT 09/13/2026 01:00PM ET,PIT,0,
RB,Trey Sermon (44037817),Trey Sermon,44037817,RB/FLEX,4000,ATL@PIT 09/13/2026 01:00PM ET,ATL,0,IR
