Player,Position,Team,Opponent,Projection,Ceiling,Ceiling_Mult,Usage_Stability,Ceiling_Ratio,Leverage,StdDev,Salary,Ownership
Will Mallory,TE,IND,BAL,3.2,3.62,1.125,1.0,1.131,14.348,6.09,2500.0,0.005
Treylon Burks,WR,WAS,PHI,3.18,3.9,1.289,0.71,1.226,15.458,3.25,3400.0,0.005
Drake Dabney,TE,GB,MIN,3.18,4.06,1.325,1.0,1.277,16.092,6.09,2500.0,0.005
Joe Flacco,QB,CIN,TB,3.17,3.88,1.22,0.0,1.224,15.379,10.24,4400.0,0.005
Jared Wayne,WR,HOU,BUF,3.15,3.45,1.125,1.0,1.095,13.674,7.32,3000.0,0.005
Justice Hill,RB,BAL,IND,3.14,3.33,1.062,0.732,1.061,13.199,8.56,4200.0,0.005
Julian Hill,TE,MIA,LV,3.14,3.52,1.105,0.839,1.121,13.952,2.16,2500.0,0.005
Ameer Abdullah,RB,IND,BAL,3.13,3.34,1.072,0.812,1.067,13.238,2.72,4000.0,0.005
Jarrett Stidham,QB,DEN,KC,3.13,4.09,1.32,0.0,1.307,16.211,6.17,4300.0,0.005
Max Brosmer,QB,MIN,GB,3.04,3.44,1.12,0.0,1.132,13.635,1.25,4000.0,0.005
Xavier Legette,WR,CAR,CHI,2.98,3.54,1.188,0.708,1.188,14.031,6.71,3700.0,0.005
Dontayvion Wicks,WR,GB,MIN,2.96,3.11,1.088,0.707,1.051,12.327,7.02,4100.0,0.005
Emanuel Wilson,RB,GB,MIN,2.91,3.19,1.12,0.544,1.096,12.644,6.71,4100.0,0.005
Braelon Allen,RB,NYJ,TEN,2.89,3.12,1.06,0.799,1.08,12.366,3.44,4700.0,0.005
Tyrell Shavers,WR,BUF,HOU,2.76,2.88,1.096,0.77,1.043,11.415,5.13,3000.0,0.005
Jeremy Ruckert,TE,NYJ,TEN,2.73,3.1,1.102,0.816,1.136,12.287,2.33,2500.0,0.005
Quintin Morris,TE,JAX,CLE,2.72,2.91,1.102,0.817,1.07,11.534,2.38,2500.0,0.005
Chris Brooks,RB,GB,MIN,2.71,2.78,1.048,0.733,1.026,11.019,2.0,4500.0,0.005
Zaire Mitchell-Paden,TE,NO,DET,2.69,3.01,1.121,0.97,1.119,11.93,1.2,2500.0,0.005
Dare Ogunbowale,RB,HOU,BUF,2.68,2.9,1.074,0.828,1.082,11.494,2.24,4000.0,0.005
Isaiah Bond,WR,CLE,JAX,2.67,2.78,1.096,0.768,1.041,11.019,3.21,3300.0,0.005
Jacoby Jones,WR,WAS,PHI,2.6,2.79,1.125,1.0,1.073,11.058,7.32,3000.0,0.005
