Player,Position,Team,Opponent,Projection,Ceiling,Ceiling_Mult,Usage_Stability,Ceiling_Ratio,Leverage,StdDev,Salary,Ownership,Game_ID,Simulated_Mean,Simulated_Median,Simulated_85th,Ceiling_95th,Ceiling_99th,Boom_Percentage
Keaton Mitchell,RB,BAL,IND,3.26,3.42,1.051,0.731,1.049,13.555,3.27,4800.0,0.005,BAL_IND,3.56,3.31,6.67,8.75,10.9,0.0
Jonnu Smith,TE,PIT,ATL,2.09,2.29,1.1,0.8,1.096,9.076,3.87,3000.0,0.005,ATL_PIT,2.91,2.26,6.29,8.64,11.23,0.0
Jalen Tolbert,WR,DAL,NYG,1.39,1.51,1.093,0.744,1.086,5.985,4.3,3500.0,0.005,DAL_NYG,2.48,1.31,5.81,8.64,11.54,0.0
Braelon Allen,RB,NYJ,TEN,2.89,3.12,1.06,0.799,1.08,12.366,3.44,4700.0,0.005,NYJ_TEN,3.27,2.88,6.51,8.58,11.04,0.0
Treylon Burks,WR,WAS,PHI,3.18,3.9,1.289,0.71,1.226,15.458,3.25,3400.0,0.005,PHI_WAS,3.53,3.23,6.7,8.54,10.91,0.0
KeAndre Lambert-Smith,WR,LAC,ARI,3.86,4.35,1.106,0.846,1.127,17.241,2.84,3000.0,0.005,ARI_LAC,3.94,3.82,6.76,8.43,10.13,0.0
Jaylin Noel,WR,HOU,BUF,0.54,0.58,1.099,0.788,1.074,2.299,4.8,3600.0,0.005,BUF_HOU,2.18,0.45,5.44,8.36,11.97,0.0
Ian Thomas,TE,LV,MIA,4.28,4.86,1.108,0.863,1.136,19.263,2.45,2500.0,0.005,LV_MIA,4.28,4.22,6.77,8.28,9.83,0.0
Mason Rudolph,QB,PIT,ATL,0.64,0.72,1.12,0.0,1.125,2.854,4.61,4000.0,0.005,ATL_PIT,2.17,0.48,5.46,8.25,11.26,0.0
Isaiah Bond,WR,CLE,JAX,2.67,2.78,1.096,0.768,1.041,11.019,3.21,3300.0,0.005,CLE_JAX,3.07,2.68,6.08,8.17,10.3,0.0
Xavier Restrepo,WR,TEN,NYJ,5.7,6.34,1.079,0.634,1.112,25.129,1.48,3000.0,0.005,NYJ_TEN,5.71,5.68,7.24,8.15,9.19,0.0
Ollie Gordon II,RB,MIA,LV,1.07,1.11,1.039,0.733,1.037,4.4,4.35,4500.0,0.005,LV_MIA,2.29,1.02,5.48,8.12,11.09,0.0
Hunter Long,TE,JAX,CLE,2.28,2.46,1.112,0.895,1.079,9.75,3.59,2500.0,0.005,CLE_JAX,2.83,2.29,5.92,8.12,10.44,0.0
Hunter Luepke,RB,DAL,NYG,3.29,3.59,1.071,0.847,1.091,14.229,2.83,4000.0,0.005,DAL_NYG,3.5,3.31,6.24,7.98,10.0,0.0
Brevyn Spann-Ford,TE,DAL,NYG,4.38,4.82,1.109,0.869,1.1,19.104,2.19,2900.0,0.005,DAL_NYG,4.39,4.37,6.62,7.96,9.55,0.0
Elijah Moore,WR,DEN,KC,2.41,2.63,1.1,0.797,1.091,10.424,3.28,3000.0,0.005,DEN_KC,2.85,2.38,5.82,7.85,10.28,0.0
Casey Washington,WR,ATL,PIT,4.04,4.49,1.102,0.819,1.111,17.796,2.25,3000.0,0.005,ATL_PIT,4.08,4.03,6.45,7.83,9.17,0.0
Cody White,WR,SEA,NE,0.37,0.41,1.109,0.876,1.108,1.625,4.5,3000.0,0.005,NE_SEA,2.02,0.33,5.16,7.8,10.65,0.0
Ben Sinnott,TE,WAS,PHI,3.94,4.48,1.197,0.772,1.137,17.757,2.37,2800.0,0.005,PHI_WAS,3.94,3.88,6.29,7.68,9.49,0.0
Darius Cooper,WR,PHI,WAS,4.08,4.6,1.099,0.793,1.127,18.232,2.13,3000.0,0.005,PHI_WAS,4.16,4.15,6.35,7.64,9.0,0.0
Ameer Abdullah,RB,IND,BAL,3.13,3.34,1.072,0.812,1.067,13.238,2.72,4000.0,0.005,BAL_IND,3.3,3.11,6.02,7.63,9.47,0.0
